idkec;nmkec;ARVI
6301010;PANYIPATAN;0.164813645
6301020;TAKISUNG;0.174062268
6301030;KURAU;0.151289629
6301031;BUMI MAKMUR;0.140112272
6301040;BATI-BATI;0.168939985
6301050;TAMBANG ULANG;0.190495842
6301060;PELAIHARI;0.200894934
6301061;BAJUIN;0.218785827
6301070;BATU AMPAR;0.196364979
6301080;JORONG;0.174347477
6301090;KINTAP;0.184865523
6302010;PULAU SEMBILAN;0.180634055
6302020;PULAU LAUT BARAT;0.194605736
6302021;PULAU LAUT TANJUNG SELAYAR;0.169811523
6302030;PULAU LAUT SELATAN;0.185130801
6302031;PULAU LAUT KEPULAUAN;0.180307864
6302040;PULAU LAUT TIMUR;0.19339348
6302050;PULAU SEBUKU;0.204127555
6302060;PULAU LAUT UTARA;0.172402008
6302061;PULAU LAUT TENGAH;0.199579271
6302062;PULAU LAUT SIGAM;0.195982485
6302120;KELUMPANG SELATAN;0.195165276
6302121;KELUMPANG HILIR;0.191959784
6302130;KELUMPANG HULU;0.233616617
6302140;HAMPANG;0.206546995
6302150;SUNGAI DURIAN;0.210646098
6302160;KELUMPANG TENGAH;0.219214437
6302161;KELUMPANG BARAT;0.225150125
6302170;KELUMPANG UTARA;0.208428254
6302180;PAMUKAN SELATAN;0.194384748
6302190;SAMPANAHAN;0.197591355
6302200;PAMUKAN UTARA;0.199845127
6302201;PAMUKAN BARAT;0.224780924
6303010;ALUH - ALUH;0.110134411
6303011;BERUNTUNG BARU;0.129198639
6303020;GAMBUT;0.1487835
6303030;KERTAK HANYAR;0.147050009
6303031;TATAH MAKMUR;0.151864581
6303040;SUNGAI TABUK;0.1563763
6303050;MARTAPURA;0.166168349
6303051;MARTAPURA TIMUR;0.155479308
6303052;MARTAPURA BARAT;0.150604868
6303060;ASTAMBUL;0.163865407
6303070;KARANG INTAN;0.218077793
6303080;ARANIO;0.206615803
6303090;SUNGAI PINANG;0.213086491
6303091;PARAMASAN;0.209914207
6303100;PENGARON;0.210400106
6303101;SAMBUNG MAKMUR;0.203801039
6303110;MATARAMAN;0.185411855
6303120;SIMPANG EMPAT;0.196492939
6303121;TELAGA BAUNTUNG;0.203787207
6303122;CINTAPURI DARUSSALAM;0.161719357
6304010;TABUNGANEN;0.126499615
6304020;TAMBAN;0.17036442
6304030;MEKAR SARI;0.183723637
6304040;ANJIR PASAR;0.175015431
6304050;ANJIR MUARA;0.170586952
6304060;ALALAK;0.157415198
6304070;MANDASTANA;0.168139641
6304071;JEJANGKIT;0.170025388
6304080;BELAWANG;0.174505481
6304090;WANARAYA;0.226676654
6304100;BARAMBAI;0.209840731
6304110;RANTAU BADAUH;0.174115879
6304120;CERBON;0.180425347
6304130;BAKUMPAI;0.176131249
6304140;MARABAHAN;0.217941242
6304150;TABUKAN;0.206109699
6304160;KURIPAN;0.177796824
6305010;BINUANG;0.184035643
6305011;HATUNGUN;0.197578672
6305020;TAPIN SELATAN;0.174578085
6305021;SALAM BABARIS;0.183102248
6305030;TAPIN TENGAH;0.19696678
6305040;BUNGUR;0.182346216
6305050;PIANI;0.204045522
6305060;LOKPAIKAT;0.163873453
6305070;TAPIN UTARA;0.163754359
6305080;BAKARANGAN;0.185767893
6305090;CANDI LARAS SELATAN;0.180778635
6305100;CANDI LARAS UTARA;0.201159966
6306010;PADANG BATUNG;0.216283274
6306020;LOKSADO;0.203820968
6306030;TELAGA LANGSAT;0.211192454
6306040;ANGKINANG;0.179434697
6306050;KANDANGAN;0.218960796
6306060;SUNGAI RAYA;0.182257402
6306070;SIMPUR;0.188838225
6306080;KALUMPANG;0.173913578
6306090;DAHA SELATAN;0.184821271
6306091;DAHA BARAT;0.188289387
6306100;DAHA UTARA;0.177446981
6307010;HARUYAN;0.215802525
6307020;BATU BENAWA;0.211003616
6307030;HANTAKAN;0.207191851
6307040;BATANG ALAI SELATAN;0.210340613
6307041;BATANG ALAI TIMUR;0.190416275
6307050;BARABAI;0.165130318
6307060;LABUAN AMAS SELATAN;0.186995229
6307070;LABUAN AMAS UTARA;0.220065224
6307080;PANDAWAN;0.197687067
6307090;BATANG ALAI UTARA;0.207518596
6307091;LIMPASU;0.202093369
6308010;DANAU PANGGANG;0.208122594
6308011;PAMINGGIR;0.165920329
6308020;BABIRIK;0.221703073
6308030;SUNGAI PANDAN;0.223891625
6308031;SUNGAI TABUKAN;0.220396701
6308040;AMUNTAI SELATAN;0.203044428
6308050;AMUNTAI TENGAH;0.211678257
6308060;BANJANG;0.220191769
6308070;AMUNTAI UTARA;0.18930878
6308071;HAUR GADING;0.191611207
6309010;BANUA LAWAS;0.219102049
6309020;PUGAAN;0.182663122
6309030;KELUA;0.1847022
6309040;MUARA HARUS;0.202876661
6309050;TANTA;0.195835926
6309060;TANJUNG;0.211540069
6309070;MURUNG PUDAK;0.170917087
6309080;HARUAI;0.207593514
6309081;BINTANG ARA;0.219296514
6309090;UPAU;0.197192978
6309100;MUARA UYA;0.213514571
6309110;JARO;0.195904341
6310010;KUSAN HILIR;0.169933432
6310020;SUNGAI LOBAN;0.18236608
6310030;SATUI;0.188878966
6310031;ANGSANA;0.178453163
6310040;KUSAN HULU;0.195326828
6310041;KURANJI;0.199141065
6310050;BATU LICIN;0.181611341
6310051;KARANG BINTANG;0.193267078
6310052;SIMPANG EMPAT;0.169868493
6310053;MANTEWE;0.201299384
6311010;LAMPIHONG;0.218493682
6311020;BATU MANDI;0.215798772
6311030;AWAYAN;0.218006012
6311031;TEBING TINGGI;0.212043466
6311040;PARINGIN;0.159485421
6311041;PARINGIN SELATAN;0.208139573
6311050;JUAI;0.184471027
6311060;HALONG;0.205363619
6371010;BANJARMASIN SELATAN;0.132216514
6371020;BANJARMASIN TIMUR;0.117506408
6371030;BANJARMASIN BARAT;0.069313725
6371031;BANJARMASIN TENGAH;0.064672919
6371040;BANJARMASIN UTARA;0.127247689
6372010;LANDASAN ULIN;0.146011779
6372011;LIANG ANGGANG;0.138452103
6372020;CEMPAKA;0.163929626
6372031;BANJAR BARU UTARA;0.147210084
6372032;BANJAR BARU SELATAN;0.126321819
