idkec;nmkec;NDVI
1601052;LENGKITI;0.332673952
1601070;SOSOH BUAY RAYAP;0.338416857
1601080;PENGANDONAN;0.344750601
1601081;SEMIDANG AJI;0.352650208
1601082;ULU OGAN;0.288925541
1601083;MUARA JAYA;0.304109649
1601090;PENINJAUAN;0.303464526
1601091;LUBUK BATANG;0.323487762
1601092;SINAR PENINJAUAN;0.29055286
1601093;KEDATON PENINJAUAN RAYA;0.304222395
1601130;BATU RAJA TIMUR;0.299304978
1601131;LUBUK RAJA;0.286838954
1601140;BATU RAJA BARAT;0.34103179
1602010;LEMPUING;0.257447807
1602011;LEMPUING JAYA;0.271321874
1602020;MESUJI;0.282783403
1602021;SUNGAI MENANG;0.201108742
1602022;MESUJI MAKMUR;0.269394383
1602023;MESUJI RAYA;0.286475024
1602030;TULUNG SELAPAN;0.232537328
1602031;CENGAL;0.207739108
1602040;PEDAMARAN;0.255218649
1602041;PEDAMARAN TIMUR;0.258288991
1602050;TANJUNG LUBUK;0.279451673
1602051;TELUK GELAM;0.272883732
1602060;KOTA KAYU AGUNG;0.264403908
1602120;SIRAH PULAU PADANG;0.25835009
1602121;JEJAWI;0.223805233
1602130;PAMPANGAN;0.22890177
1602131;PANGKALAN LAPAM;0.245229849
1602140;AIR SUGIHAN;0.229982434
1603010;SEMENDO DARAT LAUT;0.308551852
1603011;SEMENDO DARAT ULU;0.230738107
1603012;SEMENDO DARAT TENGAH;0.261417233
1603020;TANJUNG AGUNG;0.332329908
1603021;PANANG ENIM;0.326838435
1603031;RAMBANG;0.301278117
1603032;LUBAI;0.309007098
1603033;LUBAI ULU;0.312418099
1603040;LAWANG KIDUL;0.276385007
1603050;MUARA ENIM;0.275287737
1603051;UJAN MAS;0.30892283
1603060;GUNUNG MEGANG;0.298160078
1603061;BENAKAT;0.307981131
1603062;BELIMBING;0.286426064
1603070;RAMBANG NIRU;0.300764904
1603071;EMPAT PETULAI DANGKU;0.278503979
1603090;GELUMBANG;0.283567191
1603091;LEMBAK;0.298742623
1603092;SUNGAI ROTAN;0.285280886
1603093;MUARA BELIDA;0.223228602
1603094;KELEKAR;0.285648135
1603095;BELIDA DARAT;0.297952878
1604011;TANJUNG SAKTI PUMI;0.323648736
1604012;TANJUNG SAKTI PUMU;0.305894565
1604040;KOTA AGUNG;0.274348571
1604041;MULAK ULU;0.327712904
1604042;TANJUNG TEBAT;0.368732009
1604043;MULAK SEBINGKAI;0.371778319
1604050;PULAU PINANG;0.371937026
1604051;PAGAR GUNUNG;0.312053096
1604052;GUMAY ULU;0.328838187
1604060;JARAI;0.277065858
1604061;PAJAR BULAN;0.336578677
1604062;MUARA PAYANG;0.347653466
1604063;SUKAMERINDU;0.315543365
1604111;KIKIM BARAT;0.364306032
1604112;KIKIM TIMUR;0.343401255
1604113;KIKIM SELATAN;0.317951828
1604114;KIKIM TENGAH;0.366573957
1604120;LAHAT;0.33666353
1604121;GUMAY TALANG;0.352678045
1604122;PSEKSU;0.266921797
1604123;LAHAT SELATAN;0.366622949
1604131;MERAPI BARAT;0.303528806
1604132;MERAPI TIMUR;0.300776456
1604133;MERAPI SELATAN;0.299403225
1605030;SUKU TENGAH LAKITAN ULU;0.276443341
1605031;SELANGIT;0.270154484
1605032;SUMBER HARTA;0.297325515
1605040;TUGUMULYO;0.272009847
1605041;PURWODADI;0.286235683
1605050;MUARA BELITI;0.342397088
1605051;TIANG PUMPUNG KEPUNGUT;0.35143612
1605060;JAYALOKA;0.319048471
1605061;SUKA KARYA;0.308723428
1605070;MUARA KELINGI;0.299684339
1605071;BULANG TENGAH SUKU ULU;0.315472548
1605072;TUAH NEGERI;0.319922262
1605080;MUARA LAKITAN;0.296396466
1605090;MEGANG SAKTI;0.289756249
1606010;SANGA DESA;0.273961043
1606020;BABAT TOMAN;0.265693418
1606021;BATANGHARI LEKO;0.279808606
1606022;PLAKAT TINGGI;0.274818861
1606023;LAWANG WETAN;0.281101169
1606030;SUNGAI KERUH;0.304674709
1606031;JIRAK JAYA;0.315244331
1606040;SEKAYU;0.292541631
1606041;LAIS;0.306381853
1606090;SUNGAI LILIN;0.289821379
1606091;KELUANG;0.294531078
1606092;BABAT SUPAT;0.280597782
1606100;BAYUNG LENCIR;0.266649205
1606101;LALAN;0.255882273
1606102;TUNGKAL JAYA;0.289553237
1607010;RANTAU BAYUR;0.244611186
1607020;BETUNG;0.298715549
1607021;SUAK TAPEH;0.306539389
1607030;PULAU RIMAU;0.286349312
1607031;TUNGKAL ILIR;0.276656274
1607032;SELAT PENUGUAN;0.261773114
1607040;BANYUASIN III;0.305145991
1607041;SEMBAWA;0.285926201
1607050;TALANG KELAPA;0.265527832
1607051;TANJUNG LAGO;0.255570422
1607060;BANYUASIN I;0.238220613
1607061;AIR KUMBANG;0.277490044
1607070;RAMBUTAN;0.243760301
1607080;MUARA PADANG;0.23706097
1607081;MUARA SUGIHAN;0.194951652
1607090;MAKARTI JAYA;0.181825025
1607091;AIR SALEK;0.202205608
1607100;BANYUASIN II;0.240851182
1607101;KARANG AGUNG ILIR;0.209450925
1607110;MUARA TELANG;0.208445062
1607111;SUMBER MARGA TELANG;0.213631258
1608010;MEKAKAU ILIR;0.327389728
1608020;BANDING AGUNG;0.337790345
1608021;WARKUK RANAU SELATAN;0.282509542
1608022;BUAY PEMATANG RIBU RANAU TENGAH;0.347893653
1608030;BUAY PEMACA;0.34486048
1608040;SIMPANG;0.346680605
1608041;BUANA PEMACA;0.359536817
1608050;MUARADUA;0.383521956
1608051;BUAY RAWAN;0.401818576
1608060;BUAY SANDANG AJI;0.393350541
1608061;TIGA DIHAJI;0.396578735
1608070;BUAY RUNJUNG;0.356646913
1608071;RUNJUNG AGUNG;0.341397204
1608080;KISAM TINGGI;0.281461185
1608090;MUARADUA KISAM;0.246152251
1608091;KISAM ILIR;0.276876889
1608100;PULAU BERINGIN;0.302498574
1608101;SINDANG DANAU;0.282797484
1608102;SUNGAI ARE;0.380331542
1609010;MARTAPURA;0.296265145
1609011;BUNGA MAYANG;0.322421134
1609012;JAYA PURA;0.362821614
1609020;BUAY PEMUKA PELIUNG;0.281583498
1609030;BUAY MADANG;0.249618039
1609031;BUAY MADANG TIMUR;0.267726954
1609032;BUAY PEMUKA BANGSA RAJA;0.314385541
1609040;MADANG SUKU II;0.277383162
1609041;MADANG SUKU III;0.292158974
1609050;MADANG SUKU I;0.261082342
1609051;BELITANG MADANG RAYA;0.261507783
1609060;BELITANG;0.208313203
1609061;BELITANG JAYA;0.284443526
1609070;BELITANG III;0.265785232
1609080;BELITANG II;0.249161204
1609081;BELITANG MULYA;0.224844619
1609090;SEMENDAWAI SUKU III;0.248979483
1609091;SEMENDAWAI TIMUR;0.261182683
1609100;CEMPAKA;0.273082221
1609101;SEMENDAWAI BARAT;0.263525172
1610010;MUARA KUANG;0.275004734
1610011;RAMBANG KUANG;0.291773681
1610012;LUBUK KELIAT;0.263315726
1610020;TANJUNG BATU;0.237654405
1610021;PAYARAMAN;0.282230129
1610030;RANTAU ALAI;0.267661981
1610031;KANDIS;0.261352406
1610040;TANJUNG RAJA;0.253804273
1610041;RANTAU PANJANG;0.221621461
1610042;SUNGAI PINANG;0.246894321
1610050;PEMULUTAN;0.15621222
1610051;PEMULUTAN SELATAN;0.192345033
1610052;PEMULUTAN BARAT;0.18504123
1610060;INDRALAYA;0.211616443
1610061;INDRALAYA UTARA;0.241413698
1610062;INDRALAYA SELATAN;0.244318097
1611010;MUARA PINANG;0.359137662
1611020;LINTANG KANAN;0.349152951
1611030;PENDOPO;0.392170411
1611031;PENDOPO BARAT;0.396771592
1611040;PASEMAH AIR KERUH;0.359342133
1611050;ULU MUSI;0.431250207
1611051;SIKAP DALAM;0.421043973
1611060;TALANG PADANG;0.367729525
1611070;TEBING TINGGI;0.351082975
1611071;SALING;0.334960268
1612010;TALANG UBI;0.303219946
1612020;TANAH ABANG;0.299649195
1612030;ABAB;0.292492996
1612040;PENUKAL;0.313983753
1612050;PENUKAL UTARA;0.306032185
1613010;ULU RAWAS;0.298696364
1613020;KARANG JAYA;0.309339107
1613030;RAWAS ULU;0.314594435
1613040;RUPIT;0.314313176
1613050;KARANG DAPO;0.283682484
1613060;RAWAS ILIR;0.283516697
1613070;NIBUNG;0.285078694
1671010;ILIR BARAT II;0.101082239
1671011;GANDUS;0.209402299
1671020;SEBERANG ULU I;0.094146116
1671021;KERTAPATI;0.187578412
1671022;JAKABARING;0.152814576
1671030;SEBERANG ULU II;0.119557186
1671031;PLAJU;0.158020982
1671040;ILIR BARAT I;0.210036571
1671041;BUKIT KECIL;0.077643992
1671050;ILIR TIMUR I;0.066335003
1671051;KEMUNING;0.086540345
1671060;ILIR TIMUR II;0.088332757
1671061;KALIDONI;0.148220599
1671062;ILIR TIMUR TIGA;0.104953181
1671070;SAKO;0.174446577
1671071;SEMATANG BORANG;0.223012004
1671080;SUKARAMI;0.184798624
1671081;ALANG ALANG LEBAR;0.192533848
1672010;RAMBANG KAPAK TENGAH;0.300916328
1672020;PRABUMULIH TIMUR;0.263813426
1672021;PRABUMULIH SELATAN;0.292219123
1672030;PRABUMULIH BARAT;0.291869884
1672031;PRABUMULIH UTARA;0.256769144
1672040;CAMBAI;0.285957797
1673010;DEMPO SELATAN;0.280837451
1673011;DEMPO TENGAH;0.272473238
1673020;DEMPO UTARA;0.332265561
1673030;PAGAR ALAM SELATAN;0.258896516
1673040;PAGAR ALAM UTARA;0.268318051
1674011;LUBUK LINGGAU BARAT I;0.331480518
1674012;LUBUK LINGGAU BARAT II;0.28251373
1674021;LUBUK LINGGAU SELATAN I;0.344237476
1674022;LUBUK LINGGAU SELATAN II;0.308090938
1674031;LUBUK LINGGAU TIMUR I;0.262111654
1674032;LUBUK LINGGAU TIMUR II;0.280116303
1674041;LUBUK LINGGAU UTARA I;0.342301504
1674042;LUBUK LINGGAU UTARA II;0.312100239
