idkec;nmkec;SIPI
6301010;PANYIPATAN;0.591903465
6301020;TAKISUNG;0.555549423
6301030;KURAU;0.472733914
6301031;BUMI MAKMUR;0.529175369
6301040;BATI-BATI;0.59408808
6301050;TAMBANG ULANG;0.665497419
6301060;PELAIHARI;0.756432376
6301061;BAJUIN;0.741241486
6301070;BATU AMPAR;0.651909167
6301080;JORONG;0.59427572
6301090;KINTAP;0.545252778
6302010;PULAU SEMBILAN;0.844967675
6302020;PULAU LAUT BARAT;0.595941377
6302021;PULAU LAUT TANJUNG SELAYAR;0.162914125
6302030;PULAU LAUT SELATAN;0.595371283
6302031;PULAU LAUT KEPULAUAN;0.641438134
6302040;PULAU LAUT TIMUR;0.559900352
6302050;PULAU SEBUKU;0.502934533
6302060;PULAU LAUT UTARA;0.631055346
6302061;PULAU LAUT TENGAH;0.699669019
6302062;PULAU LAUT SIGAM;0.51087466
6302120;KELUMPANG SELATAN;0.618595989
6302121;KELUMPANG HILIR;0.620220839
6302130;KELUMPANG HULU;0.676066955
6302140;HAMPANG;0.716084987
6302150;SUNGAI DURIAN;0.740468368
6302160;KELUMPANG TENGAH;0.675082998
6302161;KELUMPANG BARAT;0.704336442
6302170;KELUMPANG UTARA;0.67163552
6302180;PAMUKAN SELATAN;0.504706693
6302190;SAMPANAHAN;0.653540929
6302200;PAMUKAN UTARA;0.755022333
6302201;PAMUKAN BARAT;0.72944501
6303010;ALUH - ALUH;0.374356328
6303011;BERUNTUNG BARU;0.549804516
6303020;GAMBUT;0.648183474
6303030;KERTAK HANYAR;0.623388857
6303031;TATAH MAKMUR;0.484121774
6303040;SUNGAI TABUK;0.524232349
6303050;MARTAPURA;0.480249159
6303051;MARTAPURA TIMUR;0.317611619
6303052;MARTAPURA BARAT;0.369431048
6303060;ASTAMBUL;0.638461364
6303070;KARANG INTAN;0.702485494
6303080;ARANIO;0.557787406
6303090;SUNGAI PINANG;0.777343176
6303091;PARAMASAN;0.78168859
6303100;PENGARON;0.812815233
6303101;SAMBUNG MAKMUR;0.720224144
6303110;MATARAMAN;0.652367192
6303120;SIMPANG EMPAT;0.798419349
6303121;TELAGA BAUNTUNG;0.797727825
6303122;CINTAPURI DARUSSALAM;0.609803103
6304010;TABUNGANEN;0.225686197
6304020;TAMBAN;0.658478199
6304030;MEKAR SARI;0.65883145
6304040;ANJIR PASAR;0.531111122
6304050;ANJIR MUARA;0.507810269
6304060;ALALAK;0.643150024
6304070;MANDASTANA;0.574409957
6304071;JEJANGKIT;0.627817369
6304080;BELAWANG;0.589852161
6304090;WANARAYA;0.711367676
6304100;BARAMBAI;0.69448365
6304110;RANTAU BADAUH;0.694200509
6304120;CERBON;0.601595204
6304130;BAKUMPAI;0.586268055
6304140;MARABAHAN;0.692125815
6304150;TABUKAN;0.768524035
6304160;KURIPAN;0.630544885
6305010;BINUANG;0.763909468
6305011;HATUNGUN;0.764356595
6305020;TAPIN SELATAN;0.75250865
6305021;SALAM BABARIS;0.780051472
6305030;TAPIN TENGAH;0.724192806
6305040;BUNGUR;0.886439327
6305050;PIANI;0.817080433
6305060;LOKPAIKAT;0.814183996
6305070;TAPIN UTARA;0.700569384
6305080;BAKARANGAN;0.763185525
6305090;CANDI LARAS SELATAN;0.634102366
6305100;CANDI LARAS UTARA;0.686457144
6306010;PADANG BATUNG;0.689702084
6306020;LOKSADO;0.753890655
6306030;TELAGA LANGSAT;0.687127759
6306040;ANGKINANG;0.655221906
6306050;KANDANGAN;0.599980926
6306060;SUNGAI RAYA;0.685344846
6306070;SIMPUR;0.642712664
6306080;KALUMPANG;0.657759546
6306090;DAHA SELATAN;0.713885364
6306091;DAHA BARAT;0.743036016
6306100;DAHA UTARA;0.722566245
6307010;HARUYAN;0.705451904
6307020;BATU BENAWA;0.743131074
6307030;HANTAKAN;0.7705487
6307040;BATANG ALAI SELATAN;0.578229843
6307041;BATANG ALAI TIMUR;0.755449192
6307050;BARABAI;0.591714728
6307060;LABUAN AMAS SELATAN;0.602907606
6307070;LABUAN AMAS UTARA;0.709535498
6307080;PANDAWAN;0.598352696
6307090;BATANG ALAI UTARA;0.72635141
6307091;LIMPASU;0.749194487
6308010;DANAU PANGGANG;0.627278063
6308011;PAMINGGIR;0.407985255
6308020;BABIRIK;0.723299573
6308030;SUNGAI PANDAN;0.607814651
6308031;SUNGAI TABUKAN;0.588531817
6308040;AMUNTAI SELATAN;0.549204031
6308050;AMUNTAI TENGAH;0.607751082
6308060;BANJANG;0.700482674
6308070;AMUNTAI UTARA;0.696877133
6308071;HAUR GADING;0.477624284
6309010;BANUA LAWAS;0.613091892
6309020;PUGAAN;0.759522331
6309030;KELUA;0.650918932
6309040;MUARA HARUS;0.618387819
6309050;TANTA;0.655979653
6309060;TANJUNG;0.729269792
6309070;MURUNG PUDAK;0.676359973
6309080;HARUAI;0.697439306
6309081;BINTANG ARA;0.679552432
6309090;UPAU;0.70627508
6309100;MUARA UYA;0.65734745
6309110;JARO;0.701286157
6310010;KUSAN HILIR;0.619205281
6310020;SUNGAI LOBAN;0.71688936
6310030;SATUI;0.600502415
6310031;ANGSANA;0.754716021
6310040;KUSAN HULU;0.724757737
6310041;KURANJI;0.74862669
6310050;BATU LICIN;0.73963961
6310051;KARANG BINTANG;0.79117918
6310052;SIMPANG EMPAT;0.70037987
6310053;MANTEWE;0.763669623
6311010;LAMPIHONG;0.662887209
6311020;BATU MANDI;0.641745777
6311030;AWAYAN;0.693802324
6311031;TEBING TINGGI;0.738851523
6311040;PARINGIN;0.665817796
6311041;PARINGIN SELATAN;0.675850455
6311050;JUAI;0.726615007
6311060;HALONG;0.679752513
6371010;BANJARMASIN SELATAN;0.748724127
6371020;BANJARMASIN TIMUR;0.736856937
6371030;BANJARMASIN BARAT;0.65426106
6371031;BANJARMASIN TENGAH;0.406941858
6371040;BANJARMASIN UTARA;0.845924826
6372010;LANDASAN ULIN;0.741252293
6372011;LIANG ANGGANG;0.737502645
6372020;CEMPAKA;0.549907292
6372031;BANJAR BARU UTARA;0.393931943
6372032;BANJAR BARU SELATAN;0.220568523
