idkec;nmkec;SO2_column_number_density
1601052;LENGKITI;3.30E-05
1601070;SOSOH BUAY RAYAP;2.47E-05
1601080;PENGANDONAN;2.58E-05
1601081;SEMIDANG AJI;1.96E-05
1601082;ULU OGAN;4.00E-05
1601083;MUARA JAYA;4.54E-05
1601090;PENINJAUAN;-3.77E-06
1601091;LUBUK BATANG;1.53E-05
1601092;SINAR PENINJAUAN;1.13E-05
1601093;KEDATON PENINJAUAN RAYA;5.96E-06
1601130;BATU RAJA TIMUR;2.25E-05
1601131;LUBUK RAJA;8.32E-06
1601140;BATU RAJA BARAT;2.80E-05
1602010;LEMPUING;6.44E-07
1602011;LEMPUING JAYA;-5.31E-06
1602020;MESUJI;-1.01E-06
1602021;SUNGAI MENANG;1.67E-05
1602022;MESUJI MAKMUR;1.74E-06
1602023;MESUJI RAYA;8.17E-06
1602030;TULUNG SELAPAN;1.03E-05
1602031;CENGAL;1.67E-05
1602040;PEDAMARAN;9.23E-06
1602041;PEDAMARAN TIMUR;1.82E-05
1602050;TANJUNG LUBUK;2.56E-06
1602051;TELUK GELAM;-8.82E-06
1602060;KOTA KAYU AGUNG;1.70E-05
1602120;SIRAH PULAU PADANG;-4.25E-06
1602121;JEJAWI;7.38E-07
1602130;PAMPANGAN;8.14E-06
1602131;PANGKALAN LAPAM;2.91E-05
1602140;AIR SUGIHAN;1.59E-05
1603010;SEMENDO DARAT LAUT;4.18E-05
1603011;SEMENDO DARAT ULU;2.90E-05
1603012;SEMENDO DARAT TENGAH;4.61E-05
1603020;TANJUNG AGUNG;3.03E-05
1603021;PANANG ENIM;3.32E-05
1603031;RAMBANG;8.45E-06
1603032;LUBAI;2.73E-06
1603033;LUBAI ULU;1.63E-05
1603040;LAWANG KIDUL;3.40E-05
1603050;MUARA ENIM;4.04E-05
1603051;UJAN MAS;-2.31E-06
1603060;GUNUNG MEGANG;1.97E-06
1603061;BENAKAT;1.29E-05
1603062;BELIMBING;-1.53E-06
1603070;RAMBANG NIRU;-7.73E-06
1603071;EMPAT PETULAI DANGKU;5.14E-06
1603090;GELUMBANG;-6.34E-06
1603091;LEMBAK;-8.05E-06
1603092;SUNGAI ROTAN;-6.66E-06
1603093;MUARA BELIDA;-1.12E-06
1603094;KELEKAR;4.88E-06
1603095;BELIDA DARAT;3.52E-07
1604011;TANJUNG SAKTI PUMI;1.14E-05
1604012;TANJUNG SAKTI PUMU;-1.94E-05
1604040;KOTA AGUNG;1.70E-05
1604041;MULAK ULU;2.97E-05
1604042;TANJUNG TEBAT;1.54E-05
1604043;MULAK SEBINGKAI;2.58E-05
1604050;PULAU PINANG;4.62E-05
1604051;PAGAR GUNUNG;2.33E-05
1604052;GUMAY ULU;3.15E-05
1604060;JARAI;2.57E-05
1604061;PAJAR BULAN;2.04E-05
1604062;MUARA PAYANG;3.08E-05
1604063;SUKAMERINDU;4.50E-05
1604111;KIKIM BARAT;1.35E-05
1604112;KIKIM TIMUR;2.24E-05
1604113;KIKIM SELATAN;4.31E-05
1604114;KIKIM TENGAH;4.89E-06
1604120;LAHAT;3.17E-05
1604121;GUMAY TALANG;3.57E-05
1604122;PSEKSU;4.47E-05
1604123;LAHAT SELATAN;4.07E-05
1604131;MERAPI BARAT;5.08E-05
1604132;MERAPI TIMUR;2.61E-05
1604133;MERAPI SELATAN;2.92E-05
1605030;SUKU TENGAH LAKITAN ULU;1.44E-05
1605031;SELANGIT;1.84E-05
1605032;SUMBER HARTA;-9.34E-06
1605040;TUGUMULYO;3.88E-06
1605041;PURWODADI;-5.29E-06
1605050;MUARA BELITI;2.08E-05
1605051;TIANG PUMPUNG KEPUNGUT;1.51E-05
1605060;JAYALOKA;2.25E-05
1605061;SUKA KARYA;3.22E-05
1605070;MUARA KELINGI;2.36E-05
1605071;BULANG TENGAH SUKU ULU;2.46E-05
1605072;TUAH NEGERI;1.13E-05
1605080;MUARA LAKITAN;1.44E-05
1605090;MEGANG SAKTI;1.09E-05
1606010;SANGA DESA;1.31E-05
1606020;BABAT TOMAN;9.46E-06
1606021;BATANGHARI LEKO;5.36E-06
1606022;PLAKAT TINGGI;1.36E-05
1606023;LAWANG WETAN;8.35E-06
1606030;SUNGAI KERUH;2.01E-06
1606031;JIRAK JAYA;3.57E-06
1606040;SEKAYU;1.06E-05
1606041;LAIS;4.52E-06
1606090;SUNGAI LILIN;-1.07E-05
1606091;KELUANG;-1.42E-06
1606092;BABAT SUPAT;-1.67E-05
1606100;BAYUNG LENCIR;1.72E-06
1606101;LALAN;-5.71E-06
1606102;TUNGKAL JAYA;3.93E-06
1607010;RANTAU BAYUR;1.78E-06
1607020;BETUNG;-1.81E-05
1607021;SUAK TAPEH;-4.16E-06
1607030;PULAU RIMAU;-5.68E-06
1607031;TUNGKAL ILIR;-1.81E-05
1607032;SELAT PENUGUAN;-1.91E-05
1607040;BANYUASIN III;-5.33E-06
1607041;SEMBAWA;-5.99E-07
1607050;TALANG KELAPA;7.65E-06
1607051;TANJUNG LAGO;-2.82E-06
1607060;BANYUASIN I;1.70E-05
1607061;AIR KUMBANG;1.38E-05
1607070;RAMBUTAN;1.40E-05
1607080;MUARA PADANG;2.15E-05
1607081;MUARA SUGIHAN;-6.48E-07
1607090;MAKARTI JAYA;-2.42E-06
1607091;AIR SALEK;-3.30E-06
1607100;BANYUASIN II;1.33E-05
1607101;KARANG AGUNG ILIR;1.10E-06
1607110;MUARA TELANG;-3.45E-06
1607111;SUMBER MARGA TELANG;1.47E-05
1608010;MEKAKAU ILIR;2.45E-05
1608020;BANDING AGUNG;1.90E-05
1608021;WARKUK RANAU SELATAN;2.79E-05
1608022;BUAY PEMATANG RIBU RANAU TENGAH;2.38E-05
1608030;BUAY PEMACA;1.92E-05
1608040;SIMPANG;1.89E-05
1608041;BUANA PEMACA;8.29E-06
1608050;MUARADUA;2.82E-05
1608051;BUAY RAWAN;2.82E-05
1608060;BUAY SANDANG AJI;1.89E-05
1608061;TIGA DIHAJI;1.39E-05
1608070;BUAY RUNJUNG;3.23E-05
1608071;RUNJUNG AGUNG;3.89E-05
1608080;KISAM TINGGI;-5.94E-06
1608090;MUARADUA KISAM;1.41E-05
1608091;KISAM ILIR;3.25E-05
1608100;PULAU BERINGIN;8.73E-06
1608101;SINDANG DANAU;1.98E-05
1608102;SUNGAI ARE;1.51E-05
1609010;MARTAPURA;1.54E-05
1609011;BUNGA MAYANG;3.59E-05
1609012;JAYA PURA;2.72E-05
1609020;BUAY PEMUKA PELIUNG;2.48E-05
1609030;BUAY MADANG;1.57E-05
1609031;BUAY MADANG TIMUR;9.13E-06
1609032;BUAY PEMUKA BANGSA RAJA;-3.91E-06
1609040;MADANG SUKU II;-1.18E-05
1609041;MADANG SUKU III;4.48E-06
1609050;MADANG SUKU I;1.40E-05
1609051;BELITANG MADANG RAYA;-1.97E-06
1609060;BELITANG;1.55E-05
1609061;BELITANG JAYA;5.92E-06
1609070;BELITANG III;-5.35E-06
1609080;BELITANG II;-6.53E-06
1609081;BELITANG MULYA;-8.75E-06
1609090;SEMENDAWAI SUKU III;-1.27E-06
1609091;SEMENDAWAI TIMUR;-5.34E-06
1609100;CEMPAKA;-3.89E-06
1609101;SEMENDAWAI BARAT;7.64E-06
1610010;MUARA KUANG;3.60E-06
1610011;RAMBANG KUANG;3.22E-06
1610012;LUBUK KELIAT;2.05E-05
1610020;TANJUNG BATU;1.28E-05
1610021;PAYARAMAN;2.63E-05
1610030;RANTAU ALAI;4.38E-06
1610031;KANDIS;-3.43E-06
1610040;TANJUNG RAJA;-1.19E-05
1610041;RANTAU PANJANG;-5.76E-07
1610042;SUNGAI PINANG;1.92E-05
1610050;PEMULUTAN;-3.90E-06
1610051;PEMULUTAN SELATAN;4.05E-05
1610052;PEMULUTAN BARAT;-1.03E-05
1610060;INDRALAYA;2.34E-05
1610061;INDRALAYA UTARA;1.94E-05
1610062;INDRALAYA SELATAN;-1.68E-05
1611010;MUARA PINANG;2.34E-05
1611020;LINTANG KANAN;5.84E-06
1611030;PENDOPO;1.87E-05
1611031;PENDOPO BARAT;2.37E-05
1611040;PASEMAH AIR KERUH;1.80E-05
1611050;ULU MUSI;1.75E-05
1611051;SIKAP DALAM;1.31E-05
1611060;TALANG PADANG;1.76E-05
1611070;TEBING TINGGI;2.13E-05
1611071;SALING;3.47E-05
1612010;TALANG UBI;4.85E-06
1612020;TANAH ABANG;-1.27E-06
1612030;ABAB;-1.28E-06
1612040;PENUKAL;-9.39E-06
1612050;PENUKAL UTARA;-1.10E-05
1613010;ULU RAWAS;2.77E-05
1613020;KARANG JAYA;1.58E-05
1613030;RAWAS ULU;2.20E-07
1613040;RUPIT;6.67E-06
1613050;KARANG DAPO;1.41E-05
1613060;RAWAS ILIR;2.06E-05
1613070;NIBUNG;1.60E-05
1671010;ILIR BARAT II;7.45E-05
1671011;GANDUS;2.09E-05
1671020;SEBERANG ULU I;4.34E-05
1671021;KERTAPATI;3.44E-05
1671022;JAKABARING;1.52E-05
1671030;SEBERANG ULU II;7.11E-05
1671031;PLAJU;3.80E-05
1671040;ILIR BARAT I;3.41E-05
1671041;BUKIT KECIL;2.70E-05
1671050;ILIR TIMUR I;1.69E-06
1671051;KEMUNING;-3.45E-05
1671060;ILIR TIMUR II;3.54E-05
1671061;KALIDONI;2.58E-05
1671062;ILIR TIMUR TIGA;-2.72E-05
1671070;SAKO;2.20E-06
1671071;SEMATANG BORANG;9.60E-06
1671080;SUKARAMI;-7.07E-06
1671081;ALANG ALANG LEBAR;2.48E-05
1672010;RAMBANG KAPAK TENGAH;-1.28E-06
1672020;PRABUMULIH TIMUR;-6.41E-06
1672021;PRABUMULIH SELATAN;1.01E-05
1672030;PRABUMULIH BARAT;-1.26E-05
1672031;PRABUMULIH UTARA;-1.93E-05
1672040;CAMBAI;-1.56E-05
1673010;DEMPO SELATAN;9.84E-06
1673011;DEMPO TENGAH;2.38E-06
1673020;DEMPO UTARA;-1.33E-05
1673030;PAGAR ALAM SELATAN;1.01E-05
1673040;PAGAR ALAM UTARA;2.65E-05
1674011;LUBUK LINGGAU BARAT I;7.11E-06
1674012;LUBUK LINGGAU BARAT II;1.68E-05
1674021;LUBUK LINGGAU SELATAN I;1.63E-05
1674022;LUBUK LINGGAU SELATAN II;-7.12E-06
1674031;LUBUK LINGGAU TIMUR I;1.30E-06
1674032;LUBUK LINGGAU TIMUR II;1.32E-06
1674041;LUBUK LINGGAU UTARA I;-1.78E-06
1674042;LUBUK LINGGAU UTARA II;7.72E-06
