idkec;nmkec;LST_Day_1km
6301010;PANYIPATAN;29.13018225
6301020;TAKISUNG;28.94081534
6301030;KURAU;29.09895021
6301031;BUMI MAKMUR;29.39211687
6301040;BATI-BATI;30.69744774
6301050;TAMBANG ULANG;30.05366201
6301060;PELAIHARI;29.73023579
6301061;BAJUIN;28.64710166
6301070;BATU AMPAR;27.96150136
6301080;JORONG;28.89094061
6301090;KINTAP;28.81395807
6302010;PULAU SEMBILAN;26.0311946
6302020;PULAU LAUT BARAT;27.90523339
6302021;PULAU LAUT TANJUNG SELAYAR;28.00745231
6302030;PULAU LAUT SELATAN;27.80073527
6302031;PULAU LAUT KEPULAUAN;28.18999887
6302040;PULAU LAUT TIMUR;28.13346367
6302050;PULAU SEBUKU;27.18885389
6302060;PULAU LAUT UTARA;28.38079897
6302061;PULAU LAUT TENGAH;28.48298611
6302062;PULAU LAUT SIGAM;27.70818848
6302120;KELUMPANG SELATAN;28.12056405
6302121;KELUMPANG HILIR;29.13891586
6302130;KELUMPANG HULU;28.03897934
6302140;HAMPANG;26.6311087
6302150;SUNGAI DURIAN;27.54164496
6302160;KELUMPANG TENGAH;27.86530797
6302161;KELUMPANG BARAT;28.17490933
6302170;KELUMPANG UTARA;28.23357018
6302180;PAMUKAN SELATAN;28.21876035
6302190;SAMPANAHAN;27.76906914
6302200;PAMUKAN UTARA;28.93313792
6302201;PAMUKAN BARAT;27.46182905
6303010;ALUH - ALUH;28.5415573
6303011;BERUNTUNG BARU;29.88274361
6303020;GAMBUT;30.84017749
6303030;KERTAK HANYAR;31.64408176
6303031;TATAH MAKMUR;29.55368699
6303040;SUNGAI TABUK;30.63612069
6303050;MARTAPURA;33.14423263
6303051;MARTAPURA TIMUR;31.25416844
6303052;MARTAPURA BARAT;31.11001082
6303060;ASTAMBUL;30.78493678
6303070;KARANG INTAN;29.30091996
6303080;ARANIO;27.28542795
6303090;SUNGAI PINANG;28.36802004
6303091;PARAMASAN;27.16207765
6303100;PENGARON;29.23893461
6303101;SAMBUNG MAKMUR;29.92312232
6303110;MATARAMAN;30.59256824
6303120;SIMPANG EMPAT;30.27089331
6303121;TELAGA BAUNTUNG;29.29496895
6303122;CINTAPURI DARUSSALAM;30.65261956
6304010;TABUNGANEN;29.01467977
6304020;TAMBAN;29.72532332
6304030;MEKAR SARI;29.86434327
6304040;ANJIR PASAR;29.86907796
6304050;ANJIR MUARA;29.62515446
6304060;ALALAK;29.9617817
6304070;MANDASTANA;30.47296568
6304071;JEJANGKIT;30.31830398
6304080;BELAWANG;29.57018702
6304090;WANARAYA;29.84504355
6304100;BARAMBAI;29.81423252
6304110;RANTAU BADAUH;30.23215209
6304120;CERBON;29.71870942
6304130;BAKUMPAI;29.30678724
6304140;MARABAHAN;29.72706297
6304150;TABUKAN;28.98876838
6304160;KURIPAN;29.14513494
6305010;BINUANG;30.64997933
6305011;HATUNGUN;29.58938748
6305020;TAPIN SELATAN;30.62401195
6305021;SALAM BABARIS;29.99229155
6305030;TAPIN TENGAH;30.39666525
6305040;BUNGUR;30.04246439
6305050;PIANI;27.98283527
6305060;LOKPAIKAT;30.52410397
6305070;TAPIN UTARA;31.26598171
6305080;BAKARANGAN;30.86956053
6305090;CANDI LARAS SELATAN;29.70737397
6305100;CANDI LARAS UTARA;29.67735302
6306010;PADANG BATUNG;29.12125754
6306020;LOKSADO;26.73239844
6306030;TELAGA LANGSAT;29.37585488
6306040;ANGKINANG;30.65172219
6306050;KANDANGAN;30.15165928
6306060;SUNGAI RAYA;30.38558491
6306070;SIMPUR;30.35323413
6306080;KALUMPANG;30.69182416
6306090;DAHA SELATAN;30.27781093
6306091;DAHA BARAT;29.8939804
6306100;DAHA UTARA;30.47004521
6307010;HARUYAN;29.62314089
6307020;BATU BENAWA;30.25750523
6307030;HANTAKAN;27.71605091
6307040;BATANG ALAI SELATAN;30.57920731
6307041;BATANG ALAI TIMUR;25.31995465
6307050;BARABAI;32.07125734
6307060;LABUAN AMAS SELATAN;30.76396802
6307070;LABUAN AMAS UTARA;29.40938608
6307080;PANDAWAN;30.87454997
6307090;BATANG ALAI UTARA;30.8348356
6307091;LIMPASU;30.72430881
6308010;DANAU PANGGANG;29.28614752
6308011;PAMINGGIR;29.36448103
6308020;BABIRIK;29.79555429
6308030;SUNGAI PANDAN;29.75024824
6308031;SUNGAI TABUKAN;29.74680628
6308040;AMUNTAI SELATAN;29.48154723
6308050;AMUNTAI TENGAH;30.354781
6308060;BANJANG;30.28847483
6308070;AMUNTAI UTARA;30.47528939
6308071;HAUR GADING;29.84865555
6309010;BANUA LAWAS;29.65427151
6309020;PUGAAN;30.14768905
6309030;KELUA;30.45489883
6309040;MUARA HARUS;30.30461037
6309050;TANTA;30.10548529
6309060;TANJUNG;29.73433343
6309070;MURUNG PUDAK;31.27436517
6309080;HARUAI;29.89478533
6309081;BINTANG ARA;27.18968497
6309090;UPAU;28.81575777
6309100;MUARA UYA;27.44691052
6309110;JARO;27.66395173
6310010;KUSAN HILIR;29.2178866
6310020;SUNGAI LOBAN;29.17592499
6310030;SATUI;28.76959601
6310031;ANGSANA;29.3276804
6310040;KUSAN HULU;27.52089341
6310041;KURANJI;29.06735357
6310050;BATU LICIN;29.34659995
6310051;KARANG BINTANG;29.34185833
6310052;SIMPANG EMPAT;29.60709352
6310053;MANTEWE;27.49270612
6311010;LAMPIHONG;30.24368874
6311020;BATU MANDI;30.35759071
6311030;AWAYAN;30.01402989
6311031;TEBING TINGGI;27.44489389
6311040;PARINGIN;31.42193639
6311041;PARINGIN SELATAN;30.50004734
6311050;JUAI;30.61217664
6311060;HALONG;27.74598264
6371010;BANJARMASIN SELATAN;31.58299819
6371020;BANJARMASIN TIMUR;35.23045074
6371030;BANJARMASIN BARAT;33.64987009
6371031;BANJARMASIN TENGAH;36.402118
6371040;BANJARMASIN UTARA;33.99164372
6372010;LANDASAN ULIN;33.12238918
6372011;LIANG ANGGANG;32.161307
6372020;CEMPAKA;31.34738762
6372031;BANJAR BARU UTARA;34.17680126
6372032;BANJAR BARU SELATAN;35.14836891
